% Model:              capacitor_fringing_fields - sc-2-qw.mph
% Version:            COMSOL 5.1.0.136
% Date:               Dec 16 2018, 23:11
% Dimension:          3
% Nodes:              16324
% Expressions:        1
% Description:        Surface charge density
% Length unit:        nm
% x             y              z              es.nD (C/m^2)
-60.000         0.0000         6.7000         0.0000
-59.979         1.6056         6.7000         0.0000
-59.979         -1.6056        6.7000         0.0000
-59.914         3.2095         6.7000         0.0000
-59.914         -3.2096        6.7000         0.0000
-59.807         4.8116         6.7000         0.0000
-59.807         -4.8118        6.7000         0.0000
-59.639         6.5703         6.7000         0.0000
-59.639         -6.5705        6.7000         0.0000
-59.420         8.3225         6.7000         0.0000
-59.420         -8.3228        6.7000         0.0000
-59.149         10.068         6.7000         0.0000
-59.149         -10.069        6.7000         0.0000
-58.827         11.804         6.7000         0.0000
-58.827         -11.805        6.7000         0.0000
-58.553         0.86333        6.7000         0.0000
-58.510         2.4681         6.7000         0.0000
-58.455         13.530         6.7000         0.0000
-58.455         -13.530        6.7000         0.0000
-58.425         4.0711         6.7000         0.0000
-58.418         -0.66702       6.7000         0.0000
-58.375         -2.2718        6.7000         0.0000
-58.289         -3.8749        6.7000         0.0000
-58.147         -5.4205        6.7000         0.0000
-58.066         5.7461         6.7000         0.0000
-58.031         15.244         6.7000         0.0000
-58.031         -15.245        6.7000         0.0000
-57.953         -7.1760        6.7000         0.0000
-57.872         7.5015         6.7000         0.0000
-57.708         -8.9250        6.7000         0.0000
-57.627         9.2505         6.7000         0.0000
-57.560         16.937         6.7000         0.0000
-57.560         -16.938        6.7000         0.0000
-57.525         10.653         6.7000         0.0000
-57.473         -10.554        6.7000         0.0000
-57.178         12.383         6.7000         0.0000
-57.125         -12.285        6.7000         0.0000
-57.107         1.7267         6.7000         0.0000
-57.042         3.3305         6.7000         0.0000
-57.039         18.614         6.7000         0.0000
-57.039         -18.615        6.7000         0.0000
-56.971         0.19631        6.7000         0.0000
-56.836         -1.3340        6.7000         0.0000
-56.779         14.103         6.7000         0.0000
-56.772         -2.9380        6.7000         0.0000
-56.727         -14.005        6.7000         0.0000
-56.683         5.0055         6.7000         0.0000
-56.629         -4.4836        6.7000         0.0000
-56.487         -6.0291        6.7000         0.0000
-56.470         20.277         6.7000         0.0000
-56.470         -20.278        6.7000         0.0000
-56.382         15.743         6.7000         0.0000
-56.327         -15.695        6.7000         0.0000
-56.325         6.6805         6.7000         0.0000
-56.268         -7.7814        6.7000         0.0000
-56.105         8.4327         6.7000         0.0000
-56.032         -9.4104        6.7000         0.0000
-56.003         9.8348         6.7000         0.0000
-55.900         11.237         6.7000         0.0000
-55.886         17.428         6.7000         0.0000
-55.852         21.921         6.7000         0.0000
-55.852         -21.922        6.7000         0.0000
-55.831         -17.380        6.7000         0.0000
-55.796         -11.039        6.7000         0.0000
-55.660         2.5900         6.7000         0.0000
-55.528         12.962         6.7000         0.0000
-55.525         1.0596         6.7000         0.0000
-55.424         -12.765        6.7000         0.0000
-55.389         -0.47071       6.7000         0.0000
-55.341         19.098         6.7000         0.0000
-55.301         4.2650         6.7000         0.0000
-55.286         -19.050        6.7000         0.0000
-55.254         -2.0011        6.7000         0.0000
-55.187         23.547         6.7000         0.0000
-55.186         -23.548        6.7000         0.0000
-55.131         14.602         6.7000         0.0000
-55.112         -3.5466        6.7000         0.0000
-55.023         -14.455        6.7000         0.0000
-54.969         -5.0922        6.7000         0.0000
-54.942         5.9400         6.7000         0.0000
-54.827         -6.6378        6.7000         0.0000
-54.733         16.242         6.7000         0.0000
-54.630         -20.453        6.7000         0.0000
-54.623         -16.145        6.7000         0.0000
-54.591         -8.2668        6.7000         0.0000
-54.583         7.6150         6.7000         0.0000
-54.501         20.640         6.7000         0.0000
-54.481         9.0170         6.7000         0.0000
-54.473         25.153         6.7000         0.0000
-54.473         -25.154        6.7000         0.0000
-54.379         10.419         6.7000         0.0000
-54.355         -9.8958        6.7000         0.0000
-54.339         3.3485         6.7000         0.0000
-54.276         11.821         6.7000         0.0000
-54.213         17.920         6.7000         0.0000
-54.120         -11.525        6.7000         0.0000
-54.103         -17.822        6.7000         0.0000
-53.989         1.9417         6.7000         0.0000
-53.988         -22.088        6.7000         0.0000
-53.980         5.0235         6.7000         0.0000
-53.879         13.461         6.7000         0.0000
-53.860         22.275         6.7000         0.0000
-53.854         0.41130        6.7000         0.0000
-53.720         -13.215        6.7000         0.0000
-53.718         -1.1190        6.7000         0.0000
-53.710         26.743         6.7000         0.0000
-53.710         -26.744        6.7000         0.0000
-53.647         -2.6574        6.7000         0.0000
-53.621         6.6985         6.7000         0.0000
-53.505         -4.2030        6.7000         0.0000
-53.482         15.101         6.7000         0.0000
-53.446         -19.225        6.7000         0.0000
-53.373         19.462         6.7000         0.0000
-53.362         -5.7486        6.7000         0.0000
-53.336         -7.2783        6.7000         0.0000
-53.319         -14.905        6.7000         0.0000
-53.299         -23.703        6.7000         0.0000
-53.170         23.891         6.7000         0.0000
-53.100         -8.9073        6.7000         0.0000
-53.084         16.741         6.7000         0.0000
-53.018         4.1071         6.7000         0.0000
-52.992         12.449         6.7000         0.0000
-52.919         -16.594        6.7000         0.0000
-52.915         8.1676         6.7000         0.0000
-52.901         28.310         6.7000         0.0000
-52.901         -28.311        6.7000         0.0000
-52.865         -10.536        6.7000         0.0000
-52.818         -11.873        6.7000         0.0000
-52.812         9.5697         6.7000         0.0000
-52.790         -20.628        6.7000         0.0000
-52.710         10.972         6.7000         0.0000
-52.668         2.7002         6.7000         0.0000
-52.659         5.7821         6.7000         0.0000
-52.656         -25.168        6.7000         0.0000
-52.622         25.290         6.7000         0.0000
-52.594         14.089         6.7000         0.0000
-52.533         21.004         6.7000         0.0000
-52.418         -13.563        6.7000         0.0000
-52.318         1.2933         6.7000         0.0000
