% Model:              capacitor_fringing_fields - sc-2-qw.mph
% Version:            COMSOL 5.1.0.136
% Date:               Dec 16 2018, 23:08
% Dimension:          3
% Nodes:              19987
% Expressions:        1
% Description:        Surface charge density
% Length unit:        nm
% x             y              z              es.nD (C/m^2)
-60.000         0.0000         3.4000         0.0000
-59.987         1.2655         3.4000         0.0000
-59.987         -1.2656        3.4000         0.0000
-59.947         2.5302         3.4000         0.0000
-59.947         -2.5304        3.4000         0.0000
-59.880         3.7941         3.4000         0.0000
-59.880         -3.7942        3.4000         0.0000
-59.783         5.1033         3.4000         0.0000
-59.783         -5.1035        3.4000         0.0000
-59.657         6.4096         3.4000         0.0000
-59.657         -6.4099        3.4000         0.0000
-59.502         7.7133         3.4000         0.0000
-59.502         -7.7136        3.4000         0.0000
-59.319         9.0135         3.4000         0.0000
-59.319         -9.0139        3.4000         0.0000
-59.108         10.309         3.4000         0.0000
-59.108         -10.310        3.4000         0.0000
-58.871         0.62258        3.4000         0.0000
-58.868         11.600         3.4000         0.0000
-58.868         -11.601        3.4000         0.0000
-58.861         -0.62655       3.4000         0.0000
-58.844         1.8877         3.4000         0.0000
-58.834         -1.8917        3.4000         0.0000
-58.791         3.1520         3.4000         0.0000
-58.781         -3.1560        3.4000         0.0000
-58.665         4.3522         3.4000         0.0000
-58.600         12.885         3.4000         0.0000
-58.600         -12.886        3.4000         0.0000
-58.554         5.6600         3.4000         0.0000
-58.547         -4.3019        3.4000         0.0000
-58.436         -5.6098        3.4000         0.0000
-58.413         6.9650         3.4000         0.0000
-58.304         14.164         3.4000         0.0000
-58.304         -14.165        3.4000         0.0000
-58.295         -6.9148        3.4000         0.0000
-58.290         -8.2054        3.4000         0.0000
-58.207         8.1709         3.4000         0.0000
-58.093         -9.5034        3.4000         0.0000
-58.010         9.4688         3.4000         0.0000
-57.980         15.437         3.4000         0.0000
-57.980         -15.437        3.4000         0.0000
-57.867         -10.797        3.4000         0.0000
-57.785         10.762         3.4000         0.0000
-57.742         1.2452         3.4000         0.0000
-57.731         -0.0039630     3.4000         0.0000
-57.721         -1.2531        3.4000         0.0000
-57.702         2.5099         3.4000         0.0000
-57.681         -2.5178        3.4000         0.0000
-57.629         16.702         3.4000         0.0000
-57.628         -16.703        3.4000         0.0000
-57.576         3.7101         3.4000         0.0000
-57.571         -11.999        3.4000         0.0000
-57.479         12.005         3.4000         0.0000
-57.451         4.9104         3.4000         0.0000
-57.448         -3.6637        3.4000         0.0000
-57.325         6.2168         3.4000         0.0000
-57.290         -13.281        3.4000         0.0000
-57.249         17.959         3.4000         0.0000
-57.249         -17.959        3.4000         0.0000
-57.215         -4.8096        3.4000         0.0000
-57.197         13.287         3.4000         0.0000
-57.119         7.4226         3.4000         0.0000
-57.089         -6.1161        3.4000         0.0000
-57.083         -7.4067        3.4000         0.0000
-57.078         -8.6973        3.4000         0.0000
-56.980         -14.557        3.4000         0.0000
-56.913         8.6284         3.4000         0.0000
-56.887         14.562         3.4000         0.0000
-56.866         -9.9929        3.4000         0.0000
-56.843         19.207         3.4000         0.0000
-56.842         -19.208        3.4000         0.0000
-56.701         9.9240         3.4000         0.0000
-56.635         -15.662        3.4000         0.0000
-56.615         15.703         3.4000         0.0000
-56.613         1.8677         3.4000         0.0000
-56.602         0.61862        3.4000         0.0000
-56.592         -0.63051       3.4000         0.0000
-56.582         -1.8796        3.4000         0.0000
-56.571         -11.195        3.4000         0.0000
-56.487         3.0680         3.4000         0.0000
-56.409         20.446         3.4000         0.0000
-56.408         -20.447        3.4000         0.0000
-56.396         11.167         3.4000         0.0000
-56.362         4.2683         3.4000         0.0000
-56.348         -3.0255        3.4000         0.0000
-56.275         -12.397        3.4000         0.0000
-56.269         -16.923        3.4000         0.0000
-56.250         16.964         3.4000         0.0000
-56.236         5.4685         3.4000         0.0000
-56.115         -4.1714        3.4000         0.0000
-56.090         12.409         3.4000         0.0000
-56.030         6.6743         3.4000         0.0000
-55.979         -13.676        3.4000         0.0000
-55.948         21.676         3.4000         0.0000
-55.948         -21.676        3.4000         0.0000
-55.882         -5.3173        3.4000         0.0000
-55.876         -18.176        3.4000         0.0000
-55.876         -6.6079        3.4000         0.0000
-55.871         -7.8985        3.4000         0.0000
-55.865         -9.1891        3.4000         0.0000
-55.857         18.216         3.4000         0.0000
-55.824         7.8802         3.4000         0.0000
-55.794         13.688         3.4000         0.0000
-55.783         1.3717         3.4000         0.0000
-55.772         0.12253        3.4000         0.0000
-55.762         -1.1266        3.4000         0.0000
-55.634         -14.782        3.4000         0.0000
-55.618         9.0860         3.4000         0.0000
-55.570         -10.391        3.4000         0.0000
-55.545         2.3903         3.4000         0.0000
-55.529         -19.359        3.4000         0.0000
-55.522         14.829         3.4000         0.0000
-55.460         22.895         3.4000         0.0000
-55.460         -22.896        3.4000         0.0000
-55.419         3.5905         3.4000         0.0000
-55.394         19.416         3.4000         0.0000
-55.312         10.329         3.4000         0.0000
-55.303         -2.0394        3.4000         0.0000
-55.294         4.7908         3.4000         0.0000
-55.290         -15.888        3.4000         0.0000
-55.274         -11.593        3.4000         0.0000
-55.250         15.969         3.4000         0.0000
-55.081         -20.593        3.4000         0.0000
-55.069         -3.1853        3.4000         0.0000
-55.068         5.9064         3.4000         0.0000
-55.007         11.571         3.4000         0.0000
-54.979         -12.795        3.4000         0.0000
-54.953         0.87556        3.4000         0.0000
-54.946         20.650         3.4000         0.0000
-54.946         24.103         3.4000         0.0000
-54.945         -24.104        3.4000         0.0000
-54.943         -0.37357       3.4000         0.0000
-54.910         -17.144        3.4000         0.0000
-54.908         -5.7544        3.4000         0.0000
-54.902         -7.0451        3.4000         0.0000
-54.897         -8.3357        3.4000         0.0000
-54.871         17.226         3.4000         0.0000
-54.862         7.1122         3.4000         0.0000
-54.836         -4.3312        3.4000         0.0000
-54.715         1.8942         3.4000         0.0000
-54.701         12.814         3.4000         0.0000
-54.681         -9.5307        3.4000         0.0000
-54.656         8.3180         3.4000         0.0000
-54.634         -13.901        3.4000         0.0000
-54.607         -21.818        3.4000         0.0000
-54.563         -18.327        3.4000         0.0000
-54.483         -1.2864        3.4000         0.0000
-54.477         2.9128         3.4000         0.0000
-54.472         21.874         3.4000         0.0000
-54.429         13.954         3.4000         0.0000
-54.408         18.425         3.4000         0.0000
-54.405         25.299         3.4000         0.0000
-54.405         -25.300        3.4000         0.0000
-54.386         -10.733        3.4000         0.0000
-54.352         4.1131         3.4000         0.0000
-54.334         9.5813         3.4000         0.0000
-54.289         -15.007        3.4000         0.0000
-54.215         -19.510        3.4000         0.0000
-54.157         15.095         3.4000         0.0000
-54.127         -22.917        3.4000         0.0000
-54.125         5.2286         3.4000         0.0000
-54.123         0.37946        3.4000         0.0000
-54.090         -11.934        3.4000         0.0000
-54.063         23.030         3.4000         0.0000
-54.028         10.824         3.4000         0.0000
-54.024         -2.1993        3.4000         0.0000
-53.945         19.624         3.4000         0.0000
-53.944         -16.113        3.4000         0.0000
-53.934         -6.1916        3.4000         0.0000
-53.928         -7.4822        3.4000         0.0000
-53.899         6.3442         3.4000         0.0000
-53.885         1.3981         3.4000         0.0000
-53.885         16.235         3.4000         0.0000
-53.862         -4.7684        3.4000         0.0000
-53.839         26.484         3.4000         0.0000
-53.838         -26.485        3.4000         0.0000
-53.790         -3.3451        3.4000         0.0000
-53.754         -20.739        3.4000         0.0000
-53.731         -12.897        3.4000         0.0000
-53.722         12.067         3.4000         0.0000
-53.713         -8.6772        3.4000         0.0000
-53.693         7.5501         3.4000         0.0000
-53.663         -0.53338       3.4000         0.0000
-53.647         2.4167         3.4000         0.0000
-53.599         -24.120        3.4000         0.0000
-53.597         -17.295        3.4000         0.0000
-53.536         24.232         3.4000         0.0000
-53.497         -9.8722        3.4000         0.0000
-53.493         13.066         3.4000         0.0000
-53.484         20.853         3.4000         0.0000
-53.422         17.434         3.4000         0.0000
-53.409         3.4353         3.4000         0.0000
-53.386         -14.003        3.4000         0.0000
-53.371         8.8133         3.4000         0.0000
-53.274         -21.839        3.4000         0.0000
-53.249         -18.478        3.4000         0.0000
-53.246         27.655         3.4000         0.0000
-53.246         -27.656        3.4000         0.0000
-53.221         14.206         3.4000         0.0000
-53.204         -1.4462        3.4000         0.0000
-53.201         -11.074        3.4000         0.0000
-53.183         4.5509         3.4000         0.0000
-53.075         22.009         3.4000         0.0000
-53.049         10.077         3.4000         0.0000
-53.046         -25.310        3.4000         0.0000
-53.041         -15.109        3.4000         0.0000
-52.982         25.422         3.4000         0.0000
-52.959         -6.6287        3.4000         0.0000
-52.959         18.633         3.4000         0.0000
-52.957         5.6665         3.4000         0.0000
-52.949         15.347         3.4000         0.0000
-52.901         -19.661        3.4000         0.0000
-52.888         -5.2055        3.4000         0.0000
-52.842         -12.037        3.4000         0.0000
-52.816         -3.7823        3.4000         0.0000
-52.794         -22.939        3.4000         0.0000
-52.780         0.56663        3.4000         0.0000
-52.768         -16.338        3.4000         0.0000
-52.744         -2.3591        3.4000         0.0000
-52.744         -7.8237        3.4000         0.0000
-52.744         11.319         3.4000         0.0000
-52.731         6.7821         3.4000         0.0000
-52.666         23.164         3.4000         0.0000
-52.629         28.814         3.4000         0.0000
-52.628         -28.815        3.4000         0.0000
-52.546         -26.448        3.4000         0.0000
-52.542         1.5852         3.4000         0.0000
-52.541         16.587         3.4000         0.0000
-52.528         -9.0188        3.4000         0.0000
-52.515         12.319         3.4000         0.0000
-52.496         19.833         3.4000         0.0000
-52.483         -12.999        3.4000         0.0000
-52.442         26.475         3.4000         0.0000
-52.421         -20.761        3.4000         0.0000
-52.420         -17.521        3.4000         0.0000
-52.409         8.0453         3.4000         0.0000
-52.320         -0.34622       3.4000         0.0000
-52.313         -10.214        3.4000         0.0000
-52.304         2.6039         3.4000         0.0000
-52.286         13.318         3.4000         0.0000
-52.253         -24.135        3.4000         0.0000
-52.138         -14.105        3.4000         0.0000
-52.125         24.361         3.4000         0.0000
-52.087         20.988         3.4000         0.0000
-52.087         9.3086         3.4000         0.0000
-52.078         17.787         3.4000         0.0000
-52.072         -18.704        3.4000         0.0000
-52.047         -7.0168        3.4000         0.0000
-52.041         3.8824         3.4000         0.0000
-52.014         14.459         3.4000         0.0000
-51.986         29.958         3.4000         0.0000
-51.985         -29.959        3.4000         0.0000
-51.971         -6.1164        3.4000         0.0000
-51.954         -11.176        3.4000         0.0000
-51.941         -21.861        3.4000         0.0000
-51.941         -27.613        3.4000         0.0000
-51.900         -4.6932        3.4000         0.0000
-51.865         -15.335        3.4000         0.0000
-51.861         -1.2591        3.4000         0.0000
-51.837         27.640         3.4000         0.0000
-51.831         -8.2119        3.4000         0.0000
-51.828         -3.2700        3.4000         0.0000
-51.815         4.9980         3.4000         0.0000
-51.765         10.572         3.4000         0.0000
-51.753         -25.274        3.4000         0.0000
-51.689         7.2223         3.4000         0.0000
-51.678         22.144         3.4000         0.0000
-51.636         -19.627        3.4000         0.0000
-51.616         -9.4069        3.4000         0.0000
-51.615         18.986         3.4000         0.0000
-51.606         15.699         3.4000         0.0000
-51.595         -12.139        3.4000         0.0000
-51.591         -16.564        3.4000         0.0000
-51.589         6.1135         3.4000         0.0000
-51.585         25.413         3.4000         0.0000
-51.566         -2.3203        3.4000         0.0000
-51.536         11.571         3.4000         0.0000
-51.461         -22.961        3.4000         0.0000
-51.436         0.75379        3.4000         0.0000
-51.367         8.4855         3.4000         0.0000
-51.318         31.089         3.4000         0.0000
-51.317         -31.090        3.4000         0.0000
-51.310         -28.765        3.4000         0.0000
-51.307         12.571         3.4000         0.0000
-51.276         19.928         3.4000         0.0000
-51.268         23.299         3.4000         0.0000
-51.254         -26.412        3.4000         0.0000
-51.243         -17.747        3.4000         0.0000
-51.235         -13.102        3.4000         0.0000
-51.206         28.791         3.4000         0.0000
-51.198         1.7724         3.4000         0.0000
-51.197         16.940         3.4000         0.0000
-51.156         -20.726        3.4000         0.0000
-51.134         -7.4050        3.4000         0.0000
-51.078         13.570         3.4000         0.0000
-51.059         -6.5045        3.4000         0.0000
-51.045         9.7488         3.4000         0.0000
-51.044         26.466         3.4000         0.0000
-51.037         -10.286        3.4000         0.0000
-50.983         -5.6041        3.4000         0.0000
-50.977         -0.15906       3.4000         0.0000
-50.962         -14.331        3.4000         0.0000
-50.961         -24.099        3.4000         0.0000
