% Model:              capacitor_fringing_fields - sc-2-qw.mph
% Version:            COMSOL 5.1.0.136
% Date:               Dec 19 2018, 15:58
% Dimension:          3
% Nodes:              4260
% Expressions:        1
% Description:        Surface charge density
% Length unit:        nm
% x             y              z              es.nD (C/m^2)
-1.0359         0.31910        1.9127         0.012733
-1.0359         -0.31915       1.9126         0.012772
-1.0359         -0.31915       1.9126         0.013179
-1.0359         -0.31915       1.9126         0.012707
-1.0359         -0.31915       1.9126         0.012773
-1.0359         -0.31915       1.9126         0.012847
-1.0359         -0.31915       1.9126         0.013138
-1.0359         -0.31915       1.9126         0.012707
-1.0337         0.35463        1.9747         0.012403
-1.0337         0.35463        1.9747         0.012394
-1.0337         -0.35466       1.9747         0.012397
-1.0337         -0.35466       1.9747         0.012398
-1.0282         -0.051183      1.7123         0.014267
-1.0282         -0.051183      1.7123         0.014014
-1.0281         0.051198       1.7122         0.014151
-1.0281         0.051198       1.7122         0.014069
-1.0272         0.38858        2.0372         0.012117
-1.0272         0.38858        2.0372         0.012125
-1.0271         -0.38860       2.0371         0.012138
-1.0271         -0.38860       2.0371         0.012139
-1.0226         -0.26763       1.7955         0.013517
-1.0226         0.26759        1.7955         0.013469
-1.0221         -0.21140       1.7527         0.013783
-1.0221         -0.21140       1.7527         0.013959
-1.0220         0.21139        1.7525         0.013849
-1.0220         0.21139        1.7525         0.013686
-1.0188         0.32281        1.8395         0.013296
-1.0188         0.32281        1.8395         0.013191
-1.0188         -0.32288       1.8394         0.013177
-1.0188         -0.32288       1.8394         0.013174
-1.0170         -0.16309       1.7139         0.014141
-1.0170         -0.16309       1.7139         0.014213
-1.0170         0.16210        1.7135         0.014085
-1.0170         0.16210        1.7135         0.014082
-1.0163         0.0000         1.6790         0.014513
-1.0163         0.0000         1.6790         0.014602
-1.0163         0.0000         1.6790         0.014263
-1.0163         0.0000         1.6790         0.014263
-1.0163         0.0000         1.6790         0.014492
-1.0163         0.0000         1.6790         0.014512
-1.0163         -0.42096       2.1000         0.011873
-1.0163         -0.42096       2.1000         0.011928
-1.0163         -0.42096       2.1000         0.011928
-1.0163         0.42096        2.1000         0.011898
-1.0163         0.42096        2.1000         0.011897
-1.0163         0.42096        2.1000         0.011882
-1.0140         0.38787        1.9230         0.012611
-1.0140         0.38787        1.9230         0.012604
-1.0140         -0.38787       1.9229         0.012854
-1.0140         -0.38787       1.9229         0.012670
-1.0106         0.36921        1.8712         0.012974
-1.0106         0.36921        1.8712         0.012954
-1.0106         -0.36924       1.8711         0.012980
-1.0106         -0.36924       1.8711         0.013222
-1.0099         -0.11210       1.6788         0.014468
-1.0099         0.11109        1.6785         0.014348
-1.0091         0.42249        1.9855         0.012304
-1.0091         -0.42248       1.9854         0.012385
-0.99992        -0.45551       2.0483         0.012052
-0.99992        -0.45551       2.0483         0.012148
-0.99991        0.45554        2.0483         0.012063
-0.99991        0.45554        2.0483         0.012101
-0.99955        -0.060859      1.6448         0.014771
-0.99955        -0.060859      1.6448         0.014899
-0.99954        0.059835       1.6447         0.014666
-0.99954        0.059835       1.6447         0.014811
-0.99823        -0.26906       1.7243         0.014069
-0.99823        -0.26906       1.7243         0.013972
-0.99820        0.26900        1.7242         0.014146
-0.99820        0.26900        1.7242         0.014007
-0.99698        0.32500        1.7677         0.013633
-0.99698        0.32500        1.7677         0.013809
-0.99693        -0.32509       1.7677         0.013659
-0.99693        -0.32509       1.7677         0.013662
-0.99448        0.22022        1.6847         0.014358
-0.99440        -0.22125       1.6850         0.014314
-0.99043        0.37189        1.7988         0.013388
