% Model:              capacitor_fringing_fields - sc-2-qw.mph
% Version:            COMSOL 5.1.0.136
% Date:               Dec 16 2018, 23:13
% Dimension:          3
% Nodes:              14185
% Expressions:        1
% Description:        Surface charge density
% Length unit:        nm
% x             y              z              es.nD (C/m^2)
-48.488         -24.279        40.000         0.0000
-48.483         9.3694         40.000         0.0000
-48.431         -20.809        40.000         0.0000
-48.419         -7.1799        40.000         0.0000
-48.312         7.3868         40.000         0.0000
-48.291         28.272         40.000         0.0000
-48.288         35.612         40.000         0.0000
-48.288         -35.613        40.000         0.0000
-48.282         21.474         40.000         0.0000
-48.165         -5.2953        40.000         0.0000
-48.141         5.4043         40.000         0.0000
-48.043         24.696         40.000         0.0000
-47.935         -15.568        40.000         0.0000
-47.859         -12.586        40.000         0.0000
-47.768         15.728         40.000         0.0000
-47.714         -26.173        40.000         0.0000
-47.665         12.903         40.000         0.0000
-47.657         -22.704        40.000         0.0000
-47.596         -29.729        40.000         0.0000
-47.540         0.16187        40.000         0.0000
-47.366         -33.495        40.000         0.0000
-47.323         29.975         40.000         0.0000
-47.322         33.646         40.000         0.0000
-47.266         23.238         40.000         0.0000
-47.161         -17.403        40.000         0.0000
-47.150         17.727         40.000         0.0000
-47.027         26.460         40.000         0.0000
-46.994         -19.266        40.000         0.0000
-46.923         -1.6565        40.000         0.0000
-46.920         37.397         40.000         0.0000
-46.919         -37.398        40.000         0.0000
-46.915         1.9100         40.000         0.0000
-46.883         -24.598        40.000         0.0000
-46.826         -21.129        40.000         0.0000
-46.819         19.753         40.000         0.0000
-46.792         -14.222        40.000         0.0000
-46.676         14.454         40.000         0.0000
-46.561         -27.821        40.000         0.0000
-46.488         21.780         40.000         0.0000
-46.444         -31.377        40.000         0.0000
-46.434         -10.380        40.000         0.0000
-46.355         31.679         40.000         0.0000
-46.307         -3.4748        40.000         0.0000
-46.291         3.6582         40.000         0.0000
-46.249         25.002         40.000         0.0000
-46.180         -8.4949        40.000         0.0000
-46.104         10.805         40.000         0.0000
-46.059         28.163         40.000         0.0000
-46.052         -23.023        40.000         0.0000
-46.031         -35.304        40.000         0.0000
-45.987         35.455         40.000         0.0000
-45.933         8.8229         40.000         0.0000
-45.926         -6.6103        40.000         0.0000
-45.762         6.8403         40.000         0.0000
-45.724         -15.859        40.000         0.0000
-45.686         16.006         40.000         0.0000
-45.556         -17.722        40.000         0.0000
-45.485         39.130         40.000         0.0000
-45.484         -39.130        40.000         0.0000
