% Model:              capacitor_fringing_fields - sc-2-qw.mph
% Version:            COMSOL 5.1.0.136
% Date:               Dec 16 2018, 23:12
% Dimension:          3
% Nodes:              14221
% Expressions:        1
% Description:        Surface charge density
% Length unit:        nm
% x             y              z              es.nD (C/m^2)
-60.000         0.0000         15.100         0.0000
-59.958         2.2440         15.100         0.0000
-59.958         -2.2440        15.100         0.0000
-59.832         4.4832         15.100         0.0000
-59.832         -4.4834        15.100         0.0000
-59.623         6.7178         15.100         0.0000
-59.623         -6.7180        15.100         0.0000
-59.330         8.9429         15.100         0.0000
-59.330         -8.9433        15.100         0.0000
-58.954         11.154         15.100         0.0000
-58.954         -11.154        15.100         0.0000
-58.496         13.351         15.100         0.0000
-58.496         -13.352        15.100         0.0000
-58.106         -0.96445       15.100         0.0000
-58.022         -3.2061        15.100         0.0000
-58.008         1.0699         15.100         0.0000
-57.955         15.529         15.100         0.0000
-57.955         -15.530        15.100         0.0000
-57.924         3.3115         15.100         0.0000
-57.854         -5.4431        15.100         0.0000
-57.757         5.5484         15.100         0.0000
-57.607         7.6030         15.100         0.0000
-57.569         -7.4850        15.100         0.0000
-57.335         17.685         15.100         0.0000
-57.334         -17.685        15.100         0.0000
-57.272         9.8211         15.100         0.0000
-57.234         -9.7032        15.100         0.0000
-56.855         12.025         15.100         0.0000
-56.817         -11.907        15.100         0.0000
-56.633         19.816         15.100         0.0000
-56.633         -19.817        15.100         0.0000
-56.426         -13.938        15.100         0.0000
-56.320         13.978         15.100         0.0000
-56.211         -1.9289        15.100         0.0000
-56.114         0.10543        15.100         0.0000
-56.085         -4.1682        15.100         0.0000
-56.016         2.1398         15.100         0.0000
-55.890         4.3790         15.100         0.0000
-55.852         21.921         15.100         0.0000
-55.852         -21.922        15.100         0.0000
-55.846         -16.104        15.100         0.0000
-55.800         -6.2101        15.100         0.0000
-55.741         6.4336         15.100         0.0000
-55.740         16.145         15.100         0.0000
-55.591         8.4882         15.100         0.0000
-55.515         -8.2519        15.100         0.0000
-55.215         10.699         15.100         0.0000
-55.184         -18.248        15.100         0.0000
-55.139         -10.463        15.100         0.0000
-55.078         18.289         15.100         0.0000
-54.994         23.993         15.100         0.0000
-54.994         -23.994        15.100         0.0000
-54.748         -12.493        15.100         0.0000
-54.680         12.652         15.100         0.0000
-54.505         -20.041        15.100         0.0000
-54.464         20.228         15.100         0.0000
-54.357         -14.523        15.100         0.0000
-54.317         -2.8933        15.100         0.0000
-54.219         -0.85902       15.100         0.0000
-54.145         14.606         15.100         0.0000
-54.122         1.1753         15.100         0.0000
-54.058         26.033         15.100         0.0000
-54.058         -26.034        15.100         0.0000
-54.031         -4.9352        15.100         0.0000
-54.024         3.2096         15.100         0.0000
-53.874         5.2642         15.100         0.0000
-53.746         -6.9770        15.100         0.0000
-53.736         -16.679        15.100         0.0000
-53.725         7.3188         15.100         0.0000
-53.685         -22.130        15.100         0.0000
-53.645         22.316         15.100         0.0000
-53.575         9.3734         15.100         0.0000
-53.524         16.761         15.100         0.0000
-53.461         -9.0188        15.100         0.0000
-53.070         -11.049        15.100         0.0000
-53.056         -18.472        15.100         0.0000
-53.047         28.036         15.100         0.0000
-53.046         -28.037        15.100         0.0000
-53.040         11.327         15.100         0.0000
-52.909         18.700         15.100         0.0000
-52.894         -1.8394        15.100         0.0000
-52.797         0.19493        15.100         0.0000
-52.788         -24.186        15.100         0.0000
-52.748         24.372         15.100         0.0000
-52.699         2.2292         15.100         0.0000
-52.678         -13.079        15.100         0.0000
-52.504         13.280         15.100         0.0000
-52.376         -20.265        15.100         0.0000
-52.295         20.640         15.100         0.0000
-52.287         -15.109        15.100         0.0000
-52.245         -3.7381        15.100         0.0000
-52.058         4.0327         15.100         0.0000
-51.969         15.233         15.100         0.0000
-51.962         29.999         15.100         0.0000
-51.961         -30.000        15.100         0.0000
-51.960         -5.7800        15.100         0.0000
-51.956         10.083         15.100         0.0000
-51.928         -9.6750        15.100         0.0000
-51.926         -26.090        15.100         0.0000
-51.908         6.0873         15.100         0.0000
-51.824         26.204         15.100         0.0000
-51.759         8.1419         15.100         0.0000
-51.675         -7.8218        15.100         0.0000
-51.608         -16.903        15.100         0.0000
-51.537         -11.705        15.100         0.0000
-51.518         -22.337        15.100         0.0000
-51.472         -0.78545       15.100         0.0000
-51.437         22.712         15.100         0.0000
-51.421         12.036         15.100         0.0000
-51.375         1.2489         15.100         0.0000
-51.355         17.172         15.100         0.0000
-51.145         -13.735        15.100         0.0000
-50.928         -18.696        15.100         0.0000
-50.886         13.989         15.100         0.0000
-50.877         -28.073        15.100         0.0000
-50.823         -2.6842        15.100         0.0000
-50.804         31.922         15.100         0.0000
-50.803         -31.923        15.100         0.0000
-50.775         28.187         15.100         0.0000
-50.741         19.112         15.100         0.0000
-50.733         3.0524         15.100         0.0000
-50.656         -24.242        15.100         0.0000
-50.513         24.543         15.100         0.0000
-50.395         -10.331        15.100         0.0000
-50.337         10.792         15.100         0.0000
-50.248         -20.489        15.100         0.0000
-50.174         -4.5829        15.100         0.0000
-50.142         -8.4780        15.100         0.0000
