% Model:              capacitor_fringing_fields - sc-2-qw.mph
% Version:            COMSOL 5.1.0.136
% Date:               Dec 16 2018, 23:09
% Dimension:          3
% Nodes:              17629
% Expressions:        1
% Description:        Surface charge density
% Length unit:        nm
% x             y              z              es.nD (C/m^2)
-60.000         0.0000         4.8000         0.0000
-59.990         1.1159         4.8000         0.0000
-59.990         -1.1160        4.8000         0.0000
-59.958         2.2313         4.8000         0.0000
-59.958         -2.2314        4.8000         0.0000
-59.907         3.3460         4.8000         0.0000
-59.907         -3.3461        4.8000         0.0000
-59.812         4.7495         4.8000         0.0000
-59.812         -4.7498        4.8000         0.0000
-59.684         6.1501         4.8000         0.0000
-59.684         -6.1504        4.8000         0.0000
-59.523         7.5476         4.8000         0.0000
-59.523         -7.5480        4.8000         0.0000
-59.309         9.0812         4.8000         0.0000
-59.309         -9.0817        4.8000         0.0000
-59.055         10.608         4.8000         0.0000
-59.055         -10.609        4.8000         0.0000
-58.936         4.0390         4.8000         0.0000
-58.825         5.4410         4.8000         0.0000
-58.761         12.129         4.8000         0.0000
-58.761         -12.129        4.8000         0.0000
-58.730         0.68417        4.8000         0.0000
-58.709         1.7998         4.8000         0.0000
-58.681         6.8400         4.8000         0.0000
-58.668         2.9148         4.8000         0.0000
-58.664         -0.50473       4.8000         0.0000
-58.644         -1.6204        4.8000         0.0000
-58.602         -2.7355        4.8000         0.0000
-58.535         -4.0131        4.8000         0.0000
-58.429         13.640         4.8000         0.0000
-58.429         -13.641        4.8000         0.0000
-58.424         -5.4152        4.8000         0.0000
-58.280         -6.8144        4.8000         0.0000
-58.226         7.9781         4.8000         0.0000
-58.082         -8.1057        4.8000         0.0000
-58.058         15.142         4.8000         0.0000
-58.058         -15.142        4.8000         0.0000
-57.991         9.5084         4.8000         0.0000
-57.966         4.7319         4.8000         0.0000
-57.847         -9.6361        4.8000         0.0000
-57.838         6.1324         4.8000         0.0000
-57.718         11.032         4.8000         0.0000
-57.698         3.6078         4.8000         0.0000
-57.648         16.634         4.8000         0.0000
-57.648         -16.635        4.8000         0.0000
-57.574         -11.160        4.8000         0.0000
-57.460         1.3683         4.8000         0.0000
-57.429         2.4837         4.8000         0.0000
-57.394         0.17943        4.8000         0.0000
-57.383         7.2705         4.8000         0.0000
