% Model:              capacitor_fringing_fields - sc-2-qw.mph
% Version:            COMSOL 5.1.0.136
% Date:               Dec 16 2018, 23:13
% Dimension:          3
% Nodes:              14221
% Expressions:        1
% Description:        Surface charge density
% Length unit:        nm
% x             y              z              es.nD (C/m^2)
-60.000         0.0000         30.000         0.0000
-59.958         2.2440         30.000         0.0000
-59.958         -2.2440        30.000         0.0000
-59.832         4.4832         30.000         0.0000
-59.832         -4.4834        30.000         0.0000
-59.623         6.7178         30.000         0.0000
-59.623         -6.7180        30.000         0.0000
-59.330         8.9429         30.000         0.0000
-59.330         -8.9433        30.000         0.0000
-58.954         11.154         30.000         0.0000
-58.954         -11.154        30.000         0.0000
-58.496         13.351         30.000         0.0000
-58.496         -13.352        30.000         0.0000
-58.106         -0.96445       30.000         0.0000
-58.022         -3.2061        30.000         0.0000
-58.008         1.0699         30.000         0.0000
-57.955         15.529         30.000         0.0000
-57.955         -15.530        30.000         0.0000
-57.924         3.3115         30.000         0.0000
-57.854         -5.4431        30.000         0.0000
-57.757         5.5484         30.000         0.0000
-57.607         7.6030         30.000         0.0000
-57.569         -7.4850        30.000         0.0000
-57.335         17.685         30.000         0.0000
-57.334         -17.685        30.000         0.0000
-57.272         9.8211         30.000         0.0000
-57.234         -9.7032        30.000         0.0000
-56.855         12.025         30.000         0.0000
-56.817         -11.907        30.000         0.0000
-56.633         19.816         30.000         0.0000
-56.633         -19.817        30.000         0.0000
-56.426         -13.938        30.000         0.0000
-56.320         13.978         30.000         0.0000
-56.211         -1.9289        30.000         0.0000
-56.114         0.10543        30.000         0.0000
-56.085         -4.1682        30.000         0.0000
-56.016         2.1398         30.000         0.0000
-55.890         4.3790         30.000         0.0000
-55.852         21.921         30.000         0.0000
-55.852         -21.922        30.000         0.0000
-55.846         -16.104        30.000         0.0000
-55.800         -6.2101        30.000         0.0000
-55.741         6.4336         30.000         0.0000
-55.740         16.145         30.000         0.0000
-55.591         8.4882         30.000         0.0000
-55.515         -8.2519        30.000         0.0000
-55.215         10.699         30.000         0.0000
-55.184         -18.248        30.000         0.0000
-55.139         -10.463        30.000         0.0000
-55.078         18.289         30.000         0.0000
-54.994         23.993         30.000         0.0000
-54.994         -23.994        30.000         0.0000
-54.748         -12.493        30.000         0.0000
-54.680         12.652         30.000         0.0000
-54.505         -20.041        30.000         0.0000
-54.464         20.228         30.000         0.0000
-54.357         -14.523        30.000         0.0000
-54.317         -2.8933        30.000         0.0000
-54.219         -0.85902       30.000         0.0000
-54.145         14.606         30.000         0.0000
-54.122         1.1753         30.000         0.0000
-54.058         26.033         30.000         0.0000
-54.058         -26.034        30.000         0.0000
-54.031         -4.9352        30.000         0.0000
-54.024         3.2096         30.000         0.0000
-53.874         5.2642         30.000         0.0000
-53.746         -6.9770        30.000         0.0000
-53.736         -16.679        30.000         0.0000
-53.725         7.3188         30.000         0.0000
-53.685         -22.130        30.000         0.0000
-53.645         22.316         30.000         0.0000
-53.575         9.3734         30.000         0.0000
-53.524         16.761         30.000         0.0000
-53.461         -9.0188        30.000         0.0000
-53.070         -11.049        30.000         0.0000
-53.056         -18.472        30.000         0.0000
-53.047         28.036         30.000         0.0000
-53.046         -28.037        30.000         0.0000
-53.040         11.327         30.000         0.0000
-52.909         18.700         30.000         0.0000
-52.894         -1.8394        30.000         0.0000
-52.797         0.19493        30.000         0.0000
-52.788         -24.186        30.000         0.0000
-52.748         24.372         30.000         0.0000
-52.699         2.2292         30.000         0.0000
-52.678         -13.079        30.000         0.0000
-52.504         13.280         30.000         0.0000
-52.376         -20.265        30.000         0.0000
-52.295         20.640         30.000         0.0000
-52.287         -15.109        30.000         0.0000
-52.245         -3.7381        30.000         0.0000
-52.058         4.0327         30.000         0.0000
-51.969         15.233         30.000         0.0000
-51.962         29.999         30.000         0.0000
-51.961         -30.000        30.000         0.0000
-51.960         -5.7800        30.000         0.0000
-51.956         10.083         30.000         0.0000
-51.928         -9.6750        30.000         0.0000
-51.926         -26.090        30.000         0.0000
-51.908         6.0873         30.000         0.0000
-51.824         26.204         30.000         0.0000
-51.759         8.1419         30.000         0.0000
-51.675         -7.8218        30.000         0.0000
-51.608         -16.903        30.000         0.0000
-51.537         -11.705        30.000         0.0000
-51.518         -22.337        30.000         0.0000
-51.472         -0.78545       30.000         0.0000
-51.437         22.712         30.000         0.0000
-51.421         12.036         30.000         0.0000
-51.375         1.2489         30.000         0.0000
-51.355         17.172         30.000         0.0000
-51.145         -13.735        30.000         0.0000
-50.928         -18.696        30.000         0.0000
-50.886         13.989         30.000         0.0000
-50.877         -28.073        30.000         0.0000
-50.823         -2.6842        30.000         0.0000
-50.804         31.922         30.000         0.0000
-50.803         -31.923        30.000         0.0000
-50.775         28.187         30.000         0.0000
-50.741         19.112         30.000         0.0000
-50.733         3.0524         30.000         0.0000
-50.656         -24.242        30.000         0.0000
-50.513         24.543         30.000         0.0000
-50.395         -10.331        30.000         0.0000
-50.337         10.792         30.000         0.0000
-50.248         -20.489        30.000         0.0000
-50.174         -4.5829        30.000         0.0000
-50.142         -8.4780        30.000         0.0000
-50.140         8.8513         30.000         0.0000
