% Model:              capacitor_fringing_fields - sc-2-qw.mph
% Version:            COMSOL 5.1.0.136
% Date:               Dec 16 2018, 23:12
% Dimension:          3
% Nodes:              14221
% Expressions:        1
% Description:        Surface charge density
% Length unit:        nm
% x             y              z              es.nD (C/m^2)
-60.000         0.0000         20.000         0.0000
-59.960         2.1976         20.000         0.0000
-59.960         -2.1976        20.000         0.0000
-59.839         4.3907         20.000         0.0000
-59.839         -4.3909        20.000         0.0000
-59.638         6.5795         20.000         0.0000
-59.638         -6.5797        20.000         0.0000
-59.349         8.8121         20.000         0.0000
-59.349         -8.8124        20.000         0.0000
-58.977         11.031         20.000         0.0000
-58.977         -11.031        20.000         0.0000
-58.522         13.235         20.000         0.0000
-58.522         -13.236        20.000         0.0000
-58.098         -0.97085       20.000         0.0000
-58.067         1.1403         20.000         0.0000
-58.018         -3.1663        20.000         0.0000
-57.987         3.3357         20.000         0.0000
-57.984         15.423         20.000         0.0000
-57.984         -15.423        20.000         0.0000
-57.857         -5.3573        20.000         0.0000
-57.826         5.5266         20.000         0.0000
-57.664         7.6291         20.000         0.0000
-57.546         -7.1144        20.000         0.0000
-57.365         17.586         20.000         0.0000
-57.365         -17.587        20.000         0.0000
-57.334         9.8547         20.000         0.0000
-57.215         -9.3402        20.000         0.0000
-56.920         12.066         20.000         0.0000
-56.801         -11.552        20.000         0.0000
-56.664         19.727         20.000         0.0000
-56.664         -19.728        20.000         0.0000
-56.655         -13.696        20.000         0.0000
-56.300         13.969         20.000         0.0000
-56.197         -1.9417        20.000         0.0000
-56.166         0.16949        20.000         0.0000
-56.135         2.2807         20.000         0.0000
-56.076         -15.872        20.000         0.0000
-56.076         -4.1349        20.000         0.0000
-56.014         4.4738         20.000         0.0000
-55.884         21.840         20.000         0.0000
-55.884         -21.841        20.000         0.0000
-55.852         6.5763         20.000         0.0000
-55.765         -5.8921        20.000         0.0000
-55.722         16.144         20.000         0.0000
-55.690         8.6787         20.000         0.0000
-55.453         -7.6492        20.000         0.0000
-55.416         -18.024        20.000         0.0000
-55.318         10.897         20.000         0.0000
-55.081         -9.8679        20.000         0.0000
-55.062         18.296         20.000         0.0000
-55.026         23.920         20.000         0.0000
-55.025         -23.921        20.000         0.0000
-54.934         -12.012        20.000         0.0000
-54.788         -14.156        20.000         0.0000
-54.698         12.799         20.000         0.0000
-54.604         -19.978        20.000         0.0000
-54.491         20.163         20.000         0.0000
-54.295         -2.9126        20.000         0.0000
-54.264         -0.80136       20.000         0.0000
-54.233         1.3098         20.000         0.0000
-54.202         3.4210         20.000         0.0000
-54.168         -16.320        20.000         0.0000
-54.089         25.969         20.000         0.0000
-54.089         -25.970        20.000         0.0000
-54.078         14.702         20.000         0.0000
-54.040         5.5235         20.000         0.0000
-53.984         -4.6697        20.000         0.0000
-53.878         7.6259         20.000         0.0000
-53.784         -22.075        20.000         0.0000
-53.716         9.7283         20.000         0.0000
-53.672         -6.4268        20.000         0.0000
-53.672         22.259         20.000         0.0000
-53.459         16.865         20.000         0.0000
-53.361         -8.1839        20.000         0.0000
-53.356         -18.274        20.000         0.0000
-53.214         -10.328        20.000         0.0000
-53.096         11.630         20.000         0.0000
-53.076         27.980         20.000         0.0000
-53.076         -27.981        20.000         0.0000
-53.067         -12.472        20.000         0.0000
-52.921         -14.616        20.000         0.0000
-52.892         -1.6448        20.000         0.0000
-52.888         18.732         20.000         0.0000
-52.887         -24.139        20.000         0.0000
-52.861         0.46644        20.000         0.0000
-52.830         2.5776         20.000         0.0000
-52.774         24.324         20.000         0.0000
-52.543         -20.229        20.000         0.0000
-52.476         13.533         20.000         0.0000
-52.356         4.2560         20.000         0.0000
-52.318         20.598         20.000         0.0000
-52.194         6.3584         20.000         0.0000
-52.117         -3.1860        20.000         0.0000
-52.108         -16.570        20.000         0.0000
-52.050         10.397         20.000         0.0000
-52.033         -26.033        20.000         0.0000
-52.032         8.4608         20.000         0.0000
-51.990         29.951         20.000         0.0000
-51.989         -29.952        20.000         0.0000
-51.857         15.435         20.000         0.0000
-51.846         -8.9849        20.000         0.0000
-51.814         26.152         20.000         0.0000
-51.805         -4.9431        20.000         0.0000
-51.700         -11.129        20.000         0.0000
-51.685         -22.309        20.000         0.0000
-51.553         -13.273        20.000         0.0000
-51.494         -6.7002        20.000         0.0000
-51.489         -0.37697       20.000         0.0000
-51.459         22.679         20.000         0.0000
-51.458         1.7342         20.000         0.0000
-51.430         12.299         20.000         0.0000
-51.296         -18.525        20.000         0.0000
-51.286         17.301         20.000         0.0000
-50.984         3.4126         20.000         0.0000
-50.984         -28.024        20.000         0.0000
