% Model:              capacitor_fringing_fields - sc-2-qw.mph
% Version:            COMSOL 5.1.0.136
% Date:               Dec 16 2018, 23:12
% Dimension:          3
% Nodes:              14491
% Expressions:        1
% Description:        Surface charge density
% Length unit:        nm
% x             y              z              es.nD (C/m^2)
-60.000         0.0000         25.000         0.0000
-59.961         2.1503         25.000         0.0000
-59.961         -2.1503        25.000         0.0000
-59.846         4.2964         25.000         0.0000
-59.846         -4.2966        25.000         0.0000
-59.654         6.4385         25.000         0.0000
-59.654         -6.4387        25.000         0.0000
-59.369         8.6770         25.000         0.0000
-59.369         -8.6774        25.000         0.0000
-59.001         10.902         25.000         0.0000
-59.001         -10.902        25.000         0.0000
-58.550         13.113         25.000         0.0000
-58.549         -13.113        25.000         0.0000
-58.137         -0.86777       25.000         0.0000
-58.060         -3.0161        25.000         0.0000
-58.014         15.309         25.000         0.0000
-58.014         -15.310        25.000         0.0000
-57.906         -5.1603        25.000         0.0000
-57.831         1.2279         25.000         0.0000
-57.754         3.3761         25.000         0.0000
-57.600         5.5202         25.000         0.0000
-57.583         -7.0785        25.000         0.0000
-57.550         7.4022         25.000         0.0000
-57.397         17.482         25.000         0.0000
-57.396         -17.483        25.000         0.0000
-57.257         -9.3103        25.000         0.0000
-57.223         9.6339         25.000         0.0000
-56.847         -11.528        25.000         0.0000
-56.814         11.852         25.000         0.0000
-56.697         19.632         25.000         0.0000
-56.697         -19.633        25.000         0.0000
-56.440         -13.681        25.000         0.0000
-56.273         -1.7355        25.000         0.0000
-56.240         13.880         25.000         0.0000
-56.158         -3.8818        25.000         0.0000
-55.968         0.36009        25.000         0.0000
-55.918         21.754         25.000         0.0000
-55.917         -21.755        25.000         0.0000
-55.863         -15.866        25.000         0.0000
-55.835         -5.8001        25.000         0.0000
-55.664         16.065         25.000         0.0000
-55.662         2.4557         25.000         0.0000
-55.546         4.6019         25.000         0.0000
-55.512         -7.7183        25.000         0.0000
-55.496         6.4839         25.000         0.0000
-55.446         8.3660         25.000         0.0000
-55.205         -18.028        25.000         0.0000
-55.144         -9.9432        25.000         0.0000
-55.078         10.591         25.000         0.0000
-55.059         23.843         25.000         0.0000
-55.059         -23.844        25.000         0.0000
-55.005         18.226         25.000         0.0000
-54.737         -12.096        25.000         0.0000
-54.507         20.066         25.000         0.0000
-54.504         12.619         25.000         0.0000
-54.482         -19.731        25.000         0.0000
-54.410         -2.6033        25.000         0.0000
-54.330         -14.250        25.000         0.0000
-54.122         25.900         25.000         0.0000
-54.121         -25.901        25.000         0.0000
-54.104         -0.50768       25.000         0.0000
-54.087         -4.5216        25.000         0.0000
-53.930         14.648         25.000         0.0000
-53.799         1.5880         25.000         0.0000
-53.764         -6.4399        25.000         0.0000
-53.712         -16.423        25.000         0.0000
-53.688         22.171         25.000         0.0000
-53.663         -21.837        25.000         0.0000
-53.493         3.6836         25.000         0.0000
-53.442         5.5657         25.000         0.0000
-53.441         -8.3581        25.000         0.0000
-53.392         7.4477         25.000         0.0000
-53.342         9.3298         25.000         0.0000
-53.313         16.821         25.000         0.0000
-53.108         27.921         25.000         0.0000
-53.107         -27.922        25.000         0.0000
-53.034         -10.511        25.000         0.0000
-52.990         -18.126        25.000         0.0000
-52.893         -1.6924        25.000         0.0000
-52.814         18.660         25.000         0.0000
-52.790         24.245         25.000         0.0000
-52.768         11.358         25.000         0.0000
-52.765         -23.910        25.000         0.0000
-52.627         -12.664        25.000         0.0000
-52.587         0.40327        25.000         0.0000
-52.398         -3.3854        25.000         0.0000
-52.316         20.500         25.000         0.0000
-52.282         2.4989         25.000         0.0000
-52.267         -19.830        25.000         0.0000
-52.220         -14.818        25.000         0.0000
-52.194         13.387         25.000         0.0000
-52.077         -25.993        25.000         0.0000
-52.075         -5.3037        25.000         0.0000
-52.019         29.900         25.000         0.0000
-52.018         -29.901        25.000         0.0000
-51.877         26.044         25.000         0.0000
-51.838         -8.8939        25.000         0.0000
-51.752         -7.2220        25.000         0.0000
-51.624         10.185         25.000         0.0000
-51.621         15.416         25.000         0.0000
-51.497         -16.521        25.000         0.0000
-51.457         22.589         25.000         0.0000
-51.431         -11.047        25.000         0.0000
-51.409         4.5843         25.000         0.0000
-51.408         -21.919        25.000         0.0000
-51.376         -0.78141       25.000         0.0000
-51.359         6.4663         25.000         0.0000
-51.308         8.3484         25.000         0.0000
-51.122         17.255         25.000         0.0000
-51.071         1.3142         25.000         0.0000
-51.051         12.213         25.000         0.0000
-51.025         -27.993        25.000         0.0000
-51.024         -13.200        25.000         0.0000
-50.882         -2.4745        25.000         0.0000
-50.856         31.839         25.000         0.0000
