% Model:              capacitor_fringing_fields - sc-2-qw.mph
% Version:            COMSOL 5.1.0.136
% Date:               Dec 16 2018, 23:12
% Dimension:          3
% Nodes:              14752
% Expressions:        1
% Description:        Surface charge density
% Length unit:        nm
% x             y              z              es.nD (C/m^2)
-60.000         0.0000         17.900         0.0000
-59.963         2.1091         17.900         0.0000
-59.963         -2.1092        17.900         0.0000
-59.852         4.2143         17.900         0.0000
-59.852         -4.2145        17.900         0.0000
-59.667         6.3156         17.900         0.0000
-59.667         -6.3159        17.900         0.0000
-59.387         8.5580         17.900         0.0000
-59.386         -8.5584        17.900         0.0000
-59.022         10.787         17.900         0.0000
-59.022         -10.787        17.900         0.0000
-58.574         13.002         17.900         0.0000
-58.574         -13.002        17.900         0.0000
-58.041         15.206         17.900         0.0000
-58.041         -15.207        17.900         0.0000
-58.023         -1.0635        17.900         0.0000
-57.981         1.0892         17.900         0.0000
-57.949         -3.1708        17.900         0.0000
-57.907         3.1964         17.900         0.0000
-57.800         -5.2741        17.900         0.0000
-57.758         5.2996         17.900         0.0000
-57.641         7.2057         17.900         0.0000
-57.487         -6.9056        17.900         0.0000
-57.425         17.388         17.900         0.0000
-57.425         -17.388        17.900         0.0000
-57.319         9.4412         17.900         0.0000
-57.165         -9.1412        17.900         0.0000
-56.913         11.663         17.900         0.0000
-56.759         -11.363        17.900         0.0000
-56.727         19.546         17.900         0.0000
-56.727         -19.547        17.900         0.0000
-56.346         -13.619        17.900         0.0000
-56.226         13.743         17.900         0.0000
-56.045         -2.1271        17.900         0.0000
-56.003         0.025677       17.900         0.0000
-55.961         2.1784         17.900         0.0000
-55.948         21.676         17.900         0.0000
-55.947         -21.677        17.900         0.0000
-55.934         -4.2324        17.900         0.0000
-55.850         4.2836         17.900         0.0000
-55.771         -15.812        17.900         0.0000
-55.733         6.1897         17.900         0.0000
-55.652         15.936         17.900         0.0000
-55.621         -5.8638        17.900         0.0000
-55.616         8.0957         17.900         0.0000
-55.308         -7.4952        17.900         0.0000
-55.252         10.324         17.900         0.0000
-55.114         -17.982        17.900         0.0000
-55.089         23.774         17.900         0.0000
-55.089         -23.775        17.900         0.0000
-54.995         18.106         17.900         0.0000
-54.943         -9.7241        17.900         0.0000
-54.565         12.404         17.900         0.0000
-54.530         -11.980        17.900         0.0000
-54.479         -19.586        17.900         0.0000
-54.426         19.771         17.900         0.0000
-54.151         25.839         17.900         0.0000
-54.151         -25.840        17.900         0.0000
-54.117         -14.236        17.900         0.0000
-54.068         -3.1906        17.900         0.0000
-54.026         -1.0379        17.900         0.0000
-53.984         1.1149         17.900         0.0000
-53.942         3.2676         17.900         0.0000
-53.878         14.484         17.900         0.0000
-53.825         5.1737         17.900         0.0000
-53.755         -4.8220        17.900         0.0000
-53.708         7.0797         17.900         0.0000
-53.660         -21.700        17.900         0.0000
-53.607         21.885         17.900         0.0000
-53.591         8.9857         17.900         0.0000
-53.502         -16.417        17.900         0.0000
-53.441         -6.4535        17.900         0.0000
-53.262         16.666         17.900         0.0000
-53.136         27.867         17.900         0.0000
-53.135         -27.868        17.900         0.0000
-53.128         -8.0849        17.900         0.0000
-52.904         11.066         17.900         0.0000
-52.866         -18.022        17.900         0.0000
-52.761         -23.782        17.900         0.0000
-52.715         -10.341        17.900         0.0000
-52.708         23.966         17.900         0.0000
-52.693         18.331         17.900         0.0000
-52.617         -1.9268        17.900         0.0000
-52.575         0.22592        17.900         0.0000
-52.533         2.3787         17.900         0.0000
-52.302         -12.597        17.900         0.0000
-52.231         -19.626        17.900         0.0000
-52.217         13.145         17.900         0.0000
-52.124         19.996         17.900         0.0000
-52.057         3.9566         17.900         0.0000
-52.045         29.854         17.900         0.0000
-52.045         -29.855        17.900         0.0000
-51.940         5.8626         17.900         0.0000
-51.896         -25.876        17.900         0.0000
-51.889         -14.853        17.900         0.0000
-51.839         -3.5577        17.900         0.0000
-51.823         7.7686         17.900         0.0000
-51.796         9.5672         17.900         0.0000
-51.666         26.032         17.900         0.0000
-51.530         15.225         17.900         0.0000
-51.525         -5.1892        17.900         0.0000
-51.447         -8.7984        17.900         0.0000
-51.372         -21.724        17.900         0.0000
-51.265         22.094         17.900         0.0000
-51.253         -16.457        17.900         0.0000
-51.212         -6.8206        17.900         0.0000
-51.167         -0.66304       17.900         0.0000
-51.125         1.4897         17.900         0.0000
-51.109         11.647         17.900         0.0000
-51.034         -11.054        17.900         0.0000
-50.961         16.891         17.900         0.0000
-50.880         31.800         17.900         0.0000
